response_id,survey_id,respondent_name,respondent_email,started_at,completed_at,status,rating,duration_seconds,channel,free_text
25071,5,Nisha Patel,nisha.patel265@example.com,13/04/2026 16:04:31,13/04/2026 16:34:11,COMPLETED,2,1780,,
25358,5,Kavya Iyer,kavya.iyer685@example.com,03/08/2026 00:30:20,03/08/2026 00:59:53,Partial,5,1773,sms,
32661,10,Nisha Kulkarni,nisha.kulkarni922@example.com,17/01/2026 22:34:38,17/01/2026 22:38:27,completed,,229,whatsapp,
36506,12,Divya Fernandes,divya.fernandes127@example.com,05/08/2026 10:18:37,05/08/2026 10:44:46,COMPLETED,5,1569,kiosk,
11421,3,Kavya Reddy,kavya.reddy788@example.com,19/04/2026 20:40:09,19/04/2026 21:09:54,partial,4,1785,email,
14376,4,Sneha Kulkarni,sneha.kulkarni119@example.com,16/07/2026 09:10:33,16/07/2026 09:34:27,COMPLETED,4,1434,whatsapp,
7126,3,Arjun Bose,arjun.bose129@example.com,02/06/2026 08:22:44,,abandoned,4,1106,sms,
11136,3,Ananya Menon,ananya.menon331@example.com,06/07/2026 12:59:56,06/07/2026 13:18:08,completed,2,1092,,
15349,4,Sneha Patel,sneha.patel9@example.com,24/04/2026 15:40:51,,started,5,756,,
36712,12,Sanjay Iyer,sanjay.iyer619@example.com,07/02/2026 20:56:17,,abandoned,4,1176,,
7347,3,Aditya Gupta,aditya.gupta657@example.com,17/07/2026 01:38:04,,started,1,653,whatsapp,
15507,4,Sanjay Chatterjee,sanjay.chatterjee897@example.com,25/03/2026 21:40:28,25/03/2026 21:50:56,completed,4,628,,
31624,10,Sneha Rao,sneha.rao693@example.com,04/06/2026 16:58:41,,started,4,1519,kiosk,
28010,5,Priya Nair,priya.nair267@example.com,15/06/2026 12:14:18,15/06/2026 12:29:48,Completed,5,930,sms,
26110,5,Priya Fernandes,priya.fernandes133@example.com,04/03/2026 02:32:09,04/03/2026 02:45:08,partial,3,779,sms,
25311,5,Divya Chatterjee,divya.chatterjee874@example.com,12/07/2026 15:25:50,12/07/2026 15:30:38,Completed,2,288,,
28088,5,Rahul Fernandes,rahul.fernandes166@example.com,28/06/2026 18:36:58,,started,4,1714,,
35663,11,Pooja Menon,pooja.menon249@example.com,29/04/2026 00:44:50,29/04/2026 00:58:33,partial,N/A,823,email,
19733,5,Aditya Nair,aditya.nair19@example.com,17/05/2026 22:14:18,17/05/2026 22:39:43,completed,,1525,,
33857,10,Pooja Sharma,pooja.sharma197@example.com,19/02/2026 01:43:44,19/02/2026 01:50:49,COMPLETED,5,425,whatsapp,
7169,3,Sneha Joshi,sneha.joshi645@example.com,02/03/2026 03:16:05,,abandoned,2,27,whatsapp,
15317,4,Aditya Joshi,aditya.joshi561@example.com,09/07/2026 04:25:49,09/07/2026 04:35:26,COMPLETED,5,577,,
16705,5,Rahul Kulkarni,rahul.kulkarni289@example.com,10/02/2026 15:37:40,10/02/2026 15:56:54,COMPLETED,4,1154,email,
8040,3,Vikram Menon,vikram.menon297@example.com,07/05/2026 00:09:21,,abandoned,2,213,,
17911,5,Rahul Rao,rahul.rao533@example.com,28/02/2026 18:35:26,28/02/2026 18:39:12,partial,2,226,,
1458,1,Nisha Desai,nisha.desai949@example.com,19/05/2026 22:29:38,19/05/2026 22:35:58,partial,2,380,,
16716,5,Amit Bose,amit.bose243@example.com,29/01/2026 10:34:58,29/01/2026 10:38:01,completed,,183,sms,
7700,3,Sneha Sharma,sneha.sharma1@example.com,14/02/2026 02:26:17,,abandoned,5,174,email,
18293,5,Ananya Nair,ananya.nair223@example.com,08/02/2026 02:33:24,08/02/2026 02:57:17,partial,2,1433,sms,
18205,5,Kavya Nair,kavya.nair736@example.com,04/05/2026 23:21:32,,started,3,1180,whatsapp,
11154,3,Aditya Menon,aditya.menon378@example.com,01/08/2026 08:10:48,01/08/2026 08:21:31,completed,4,643,,
28979,6,Kavya Rao,kavya.rao989@example.com,03/07/2026 15:45:46,03/07/2026 16:00:40,partial,5,894,sms,
37776,12,Karan Khan,karan.khan980@example.com,01/01/2026 14:17:43,,started,N/A,1768,,
4581,3,Rohit Joshi,rohit.joshi395@example.com,22/01/2026 08:32:01,22/01/2026 08:59:32,completed,4,1651,,
32934,10,Rohit Chatterjee,rohit.chatterjee361@example.com,03/04/2026 16:18:35,03/04/2026 16:45:32,partial,5,1617,kiosk,
6020,3,Rahul Kulkarni,rahul.kulkarni824@example.com,11/03/2026 04:04:47,11/03/2026 04:24:09,partial,3,1162,email,
21854,5,Kavya Chatterjee,kavya.chatterjee654@example.com,17/04/2026 00:15:44,17/04/2026 00:38:45,Completed,N/A,1381,sms,
30945,7,Pooja Menon,pooja.menon114@example.com,26/01/2026 21:57:57,26/01/2026 22:07:55,COMPLETED,3,598,sms,
23611,5,Kavya Patel,kavya.patel606@example.com,16/04/2026 02:33:00,16/04/2026 02:36:12,partial,2,192,,
7339,3,Vikram Desai,vikram.desai983@example.com,03/04/2026 07:53:54,03/04/2026 08:17:18,Partial,1,1404,kiosk,
7605,3,Sanjay Reddy,sanjay.reddy254@example.com,16/01/2026 14:53:10,,abandoned,4,1673,sms,
34287,10,Pooja Bose,pooja.bose429@example.com,15/07/2026 04:20:12,15/07/2026 04:40:31,COMPLETED,N/A,1219,kiosk,
22611,5,Sanjay Sharma,sanjay.sharma896@example.com,06/01/2026 06:04:59,06/01/2026 06:28:19,Completed,3,1400,sms,
19691,5,Priya Fernandes,priya.fernandes382@example.com,19/04/2026 15:29:37,19/04/2026 15:44:24,COMPLETED,3,887,sms,
12639,4,Sanjay Reddy,sanjay.reddy532@example.com,04/03/2026 23:14:10,04/03/2026 23:22:16,partial,N/A,486,kiosk,
9097,3,Rohit Menon,rohit.menon658@example.com,22/03/2026 10:30:21,22/03/2026 10:42:37,Completed,4,736,email,
9157,3,Rahul Khan,rahul.khan492@example.com,09/06/2026 22:53:55,09/06/2026 23:13:16,COMPLETED,3,1161,,
10584,3,Sneha Menon,sneha.menon31@example.com,26/04/2026 04:00:24,,abandoned,4,1498,kiosk,
36593,12,Ananya Sharma,ananya.sharma87@example.com,23/05/2026 12:45:33,23/05/2026 13:06:18,Completed,3,1245,,
34684,10,Amit Reddy,amit.reddy635@example.com,05/08/2026 04:32:04,05/08/2026 04:34:01,partial,3,117,,
15889,4,Karan Desai,karan.desai680@example.com,05/03/2026 13:38:07,,abandoned,3,1591,sms,
17556,5,Pooja Bose,pooja.bose903@example.com,25/03/2026 04:47:26,25/03/2026 04:58:17,completed,N/A,651,whatsapp,
10790,3,Vikram Gupta,vikram.gupta759@example.com,14/07/2026 06:56:22,14/07/2026 07:24:39,partial,3,1697,whatsapp,
30798,7,Sneha Kulkarni,sneha.kulkarni425@example.com,15/01/2026 20:44:17,15/01/2026 20:54:35,Completed,1,618,,
6068,3,Amit Chatterjee,amit.chatterjee695@example.com,02/04/2026 22:46:38,02/04/2026 23:07:38,COMPLETED,2,1260,kiosk,
3545,1,Amit Kulkarni,amit.kulkarni898@example.com,31/05/2026 10:20:57,31/05/2026 10:30:51,completed,2,594,,
16376,5,Meera Kulkarni,meera.kulkarni662@example.com,26/03/2026 00:45:08,26/03/2026 01:12:40,Partial,N/A,1652,email,
19158,5,Nisha Desai,nisha.desai363@example.com,21/05/2026 15:30:24,21/05/2026 15:46:14,Partial,3,950,whatsapp,
20301,5,Divya Patel,divya.patel726@example.com,08/05/2026 22:01:47,08/05/2026 22:16:56,COMPLETED,4,909,kiosk,
37238,12,Pooja Rao,pooja.rao424@example.com,12/06/2026 22:22:53,12/06/2026 22:47:07,partial,3,1454,whatsapp,
19195,5,Pooja Iyer,pooja.iyer298@example.com,25/07/2026 06:54:45,25/07/2026 07:18:46,completed,1,1441,sms,
8605,3,Vikram Bose,vikram.bose651@example.com,30/03/2026 00:31:03,30/03/2026 00:46:40,Partial,5,937,email,
3380,1,Karan Menon,karan.menon262@example.com,28/03/2026 07:01:01,28/03/2026 07:22:27,COMPLETED,3,1286,,
33932,10,Divya Joshi,divya.joshi776@example.com,08/03/2026 18:53:29,08/03/2026 19:03:24,partial,5,595,whatsapp,
22292,5,Sanjay Nair,sanjay.nair334@example.com,29/07/2026 02:48:54,29/07/2026 03:14:04,Partial,N/A,1510,kiosk,
15167,4,Sanjay Chatterjee,sanjay.chatterjee937@example.com,04/08/2026 12:17:23,04/08/2026 12:24:19,completed,N/A,416,email,
11532,4,Priya Joshi,priya.joshi480@example.com,14/01/2026 01:57:59,,abandoned,5,637,sms,
11862,4,Rahul Rao,rahul.rao930@example.com,16/04/2026 01:28:45,16/04/2026 01:50:25,partial,5,1300,,
38097,12,Divya Sharma,divya.sharma284@example.com,05/02/2026 13:27:46,05/02/2026 13:41:05,COMPLETED,,799,kiosk,
29972,7,Meera Rao,meera.rao303@example.com,20/03/2026 04:06:37,,started,N/A,1673,whatsapp,
8194,3,Meera Desai,meera.desai8@example.com,28/02/2026 14:20:51,28/02/2026 14:28:22,COMPLETED,2,451,kiosk,
23970,5,Sneha Desai,sneha.desai81@example.com,23/01/2026 21:30:29,23/01/2026 21:39:51,Completed,4,562,email,
38740,12,Meera Gupta,meera.gupta114@example.com,05/06/2026 15:08:23,05/06/2026 15:09:28,Partial,2,65,email,
29212,6,Ananya Menon,ananya.menon109@example.com,18/02/2026 10:18:56,18/02/2026 10:37:28,completed,,1112,whatsapp,
10275,3,Aditya Iyer,aditya.iyer566@example.com,28/02/2026 01:45:35,28/02/2026 02:10:09,Partial,N/A,1474,sms,
38175,12,Sanjay Patel,sanjay.patel912@example.com,16/05/2026 00:14:53,,started,1,465,,
9018,3,Kavya Rao,kavya.rao478@example.com,29/04/2026 18:22:08,29/04/2026 18:48:35,partial,N/A,1587,email,
28115,5,Ananya Patel,ananya.patel393@example.com,12/03/2026 14:11:06,12/03/2026 14:24:27,Completed,4,801,email,
11856,4,Sneha Nair,sneha.nair43@example.com,30/06/2026 14:16:50,,started,,1181,,
7396,3,Kavya Desai,kavya.desai921@example.com,10/01/2026 11:16:13,10/01/2026 11:27:32,Completed,1,679,,
5215,3,Meera Fernandes,meera.fernandes6@example.com,02/02/2026 03:21:24,02/02/2026 03:46:13,Completed,1,1489,whatsapp,
1436,1,Rohit Gupta,rohit.gupta520@example.com,23/05/2026 06:48:22,23/05/2026 07:11:35,COMPLETED,4,1393,email,
2490,1,Amit Nair,amit.nair865@example.com,01/03/2026 11:43:21,01/03/2026 12:06:25,Partial,5,1384,email,
38292,12,Aditya Kulkarni,aditya.kulkarni614@example.com,10/02/2026 18:16:50,10/02/2026 18:27:18,Completed,3,628,kiosk,
9243,3,Meera Chatterjee,meera.chatterjee23@example.com,22/06/2026 09:16:30,,started,2,1425,,
11334,3,Nisha Bose,nisha.bose527@example.com,24/05/2026 04:07:13,24/05/2026 04:31:11,partial,2,1438,kiosk,
36120,12,Meera Fernandes,meera.fernandes412@example.com,25/01/2026 12:36:30,,started,,1022,email,
1865,1,Vikram Reddy,vikram.reddy393@example.com,09/02/2026 03:53:03,09/02/2026 03:58:05,Partial,4,302,email,
15084,4,Rohit Iyer,rohit.iyer916@example.com,24/07/2026 06:23:20,,abandoned,5,295,sms,
12094,4,Kavya Sharma,kavya.sharma735@example.com,20/04/2026 20:28:56,20/04/2026 20:48:23,completed,1,1167,sms,
21200,5,Sneha Chatterjee,sneha.chatterjee878@example.com,16/01/2026 03:04:23,,abandoned,N/A,721,email,
22522,5,Meera Menon,meera.menon336@example.com,25/02/2026 12:53:24,25/02/2026 13:22:46,Completed,2,1762,sms,
21372,5,Rahul Sharma,rahul.sharma188@example.com,01/08/2026 15:27:51,01/08/2026 15:38:02,completed,,611,whatsapp,
24650,5,Sanjay Patel,sanjay.patel296@example.com,02/02/2026 04:01:27,02/02/2026 04:23:23,partial,,1316,sms,
9946,3,Divya Nair,divya.nair845@example.com,23/05/2026 10:32:32,23/05/2026 10:53:24,COMPLETED,N/A,1252,email,
33300,10,Sneha Nair,sneha.nair672@example.com,06/04/2026 03:12:07,06/04/2026 03:36:12,partial,4,1445,,
14440,4,Ananya Bose,ananya.bose242@example.com,21/06/2026 10:07:52,21/06/2026 10:14:32,partial,2,400,sms,
38543,12,Rahul Menon,rahul.menon696@example.com,27/02/2026 08:24:17,27/02/2026 08:26:20,completed,,123,,
12836,4,Pooja Sharma,pooja.sharma661@example.com,13/04/2026 04:19:19,,started,1,167,kiosk,
6481,3,Kavya Kulkarni,kavya.kulkarni893@example.com,11/02/2026 17:32:51,11/02/2026 17:35:53,partial,5,182,sms,
35593,11,Rohit Patel,rohit.patel375@example.com,11/04/2026 14:02:51,11/04/2026 14:10:03,completed,4,432,kiosk,
37338,12,Pooja Nair,pooja.nair104@example.com,10/02/2026 14:34:32,10/02/2026 14:45:01,completed,3,629,whatsapp,
5465,3,Kavya Nair,kavya.nair496@example.com,27/02/2026 11:24:55,27/02/2026 11:36:29,partial,3,694,whatsapp,
38652,12,Sneha Kulkarni,sneha.kulkarni735@example.com,27/06/2026 05:38:02,27/06/2026 06:02:52,completed,N/A,1490,sms,
32936,10,Meera Chatterjee,meera.chatterjee950@example.com,13/06/2026 23:23:18,,abandoned,3,626,kiosk,
23296,5,Amit Rao,amit.rao917@example.com,05/02/2026 09:06:07,05/02/2026 09:21:27,Partial,1,920,,
1144,1,Sanjay Menon,sanjay.menon745@example.com,02/06/2026 08:16:30,02/06/2026 08:38:19,completed,2,1309,whatsapp,
30692,7,Aditya Khan,aditya.khan450@example.com,26/07/2026 17:51:30,,started,,1309,,
3786,1,Meera Menon,meera.menon642@example.com,25/05/2026 09:08:43,25/05/2026 09:14:43,partial,N/A,360,,
18425,5,Divya Bose,divya.bose951@example.com,08/03/2026 14:51:20,,started,2,74,sms,
15315,4,Sneha Fernandes,sneha.fernandes189@example.com,12/03/2026 04:55:41,12/03/2026 05:13:55,Partial,,1094,,
30128,7,Kavya Patel,kavya.patel687@example.com,17/01/2026 21:43:08,17/01/2026 22:03:13,partial,5,1205,,
16696,5,Vikram Desai,vikram.desai462@example.com,11/02/2026 22:37:54,11/02/2026 22:55:21,COMPLETED,1,1047,whatsapp,
31096,7,Divya Khan,divya.khan789@example.com,08/01/2026 21:10:46,08/01/2026 21:22:38,completed,5,712,email,
34290,10,Rahul Joshi,rahul.joshi73@example.com,10/01/2026 14:39:01,10/01/2026 14:57:09,completed,,1088,email,
23090,5,Vikram Bose,vikram.bose952@example.com,18/07/2026 03:45:53,18/07/2026 03:49:10,completed,5,197,,
1159,1,Vikram Rao,vikram.rao343@example.com,21/06/2026 05:50:32,21/06/2026 05:55:08,completed,2,276,sms,
24718,5,Rahul Chatterjee,rahul.chatterjee902@example.com,19/03/2026 12:27:24,,abandoned,4,1269,sms,
3796,1,Ananya Nair,ananya.nair695@example.com,24/04/2026 13:00:22,,abandoned,5,555,whatsapp,
4635,3,Meera Patel,meera.patel472@example.com,22/07/2026 17:03:42,,abandoned,4,913,whatsapp,
14315,4,Rahul Chatterjee,rahul.chatterjee143@example.com,06/08/2026 23:11:02,06/08/2026 23:35:24,partial,N/A,1462,,
3231,1,Divya Patel,divya.patel860@example.com,11/07/2026 05:01:21,11/07/2026 05:14:07,COMPLETED,5,766,whatsapp,
15045,4,Arjun Khan,arjun.khan104@example.com,01/05/2026 21:21:50,,started,4,1482,whatsapp,
8331,3,Ananya Rao,ananya.rao440@example.com,01/08/2026 12:26:38,01/08/2026 12:46:15,Partial,2,1177,whatsapp,
22671,5,Kavya Patel,kavya.patel868@example.com,01/04/2026 19:23:52,01/04/2026 19:37:04,COMPLETED,4,792,,
15738,4,Meera Sharma,meera.sharma349@example.com,13/04/2026 13:02:45,,abandoned,1,1282,sms,
21243,5,Rahul Patel,rahul.patel292@example.com,14/02/2026 07:06:51,14/02/2026 07:24:53,COMPLETED,5,1082,sms,
5599,3,Aditya Bose,aditya.bose669@example.com,20/07/2026 04:01:56,20/07/2026 04:22:15,Partial,5,1219,email,
11148,3,Sanjay Rao,sanjay.rao496@example.com,19/07/2026 04:58:14,19/07/2026 05:24:13,Completed,4,1559,kiosk,
14840,4,Rahul Patel,rahul.patel418@example.com,30/03/2026 18:26:22,,abandoned,4,1365,whatsapp,
9557,3,Vikram Joshi,vikram.joshi307@example.com,04/05/2026 03:19:43,04/05/2026 03:21:11,Partial,5,88,sms,
15834,4,Sneha Sharma,sneha.sharma315@example.com,29/06/2026 09:21:23,29/06/2026 09:25:27,partial,1,244,email,
38555,12,Priya Joshi,priya.joshi459@example.com,12/07/2026 19:31:03,12/07/2026 19:42:30,completed,5,687,,
23449,5,Ananya Patel,ananya.patel316@example.com,25/06/2026 05:53:46,25/06/2026 06:01:21,partial,2,455,kiosk,
16368,5,Vikram Menon,vikram.menon685@example.com,16/07/2026 03:29:47,16/07/2026 03:35:35,Partial,1,348,whatsapp,
19696,5,Sneha Joshi,sneha.joshi438@example.com,22/01/2026 15:30:19,,abandoned,N/A,1137,sms,
30491,7,Divya Nair,divya.nair557@example.com,12/06/2026 17:08:41,12/06/2026 17:11:03,COMPLETED,4,142,sms,
26407,5,Kavya Chatterjee,kavya.chatterjee968@example.com,02/06/2026 08:18:22,02/06/2026 08:38:40,COMPLETED,4,1218,,
31587,8,Sneha Joshi,sneha.joshi972@example.com,24/05/2026 06:58:19,24/05/2026 07:25:55,Partial,,1656,whatsapp,
22580,5,Rahul Chatterjee,rahul.chatterjee245@example.com,06/08/2026 05:21:59,,abandoned,2,1138,whatsapp,
17133,5,Arjun Fernandes,arjun.fernandes309@example.com,21/03/2026 23:16:49,21/03/2026 23:40:26,Completed,4,1417,sms,
22787,5,Ananya Reddy,ananya.reddy995@example.com,16/06/2026 11:54:58,16/06/2026 12:11:27,Completed,,989,whatsapp,
37923,12,Pooja Khan,pooja.khan637@example.com,26/04/2026 10:46:36,26/04/2026 11:08:14,Completed,5,1298,,
31425,7,Divya Iyer,divya.iyer331@example.com,21/06/2026 19:10:22,21/06/2026 19:12:32,Completed,2,130,whatsapp,
37420,12,Karan Joshi,karan.joshi136@example.com,11/05/2026 20:54:58,11/05/2026 21:06:44,partial,4,706,,
8053,3,Amit Iyer,amit.iyer858@example.com,18/04/2026 06:43:59,18/04/2026 07:10:27,partial,N/A,1588,,
19175,5,Amit Patel,amit.patel223@example.com,03/07/2026 16:46:37,03/07/2026 17:10:35,partial,1,1438,whatsapp,
21504,5,Priya Sharma,priya.sharma852@example.com,09/07/2026 20:32:00,09/07/2026 20:48:42,completed,,1002,sms,
21289,5,Aditya Patel,aditya.patel677@example.com,18/06/2026 06:34:40,,started,5,58,email,
6847,3,Vikram Bose,vikram.bose392@example.com,01/05/2026 18:59:27,01/05/2026 19:05:14,completed,1,347,kiosk,
4797,3,Arjun Joshi,arjun.joshi884@example.com,22/02/2026 08:37:46,,abandoned,N/A,1512,sms,
14894,4,Sanjay Desai,sanjay.desai395@example.com,04/03/2026 09:11:45,04/03/2026 09:28:31,COMPLETED,,1006,whatsapp,
27175,5,Meera Sharma,meera.sharma718@example.com,14/07/2026 19:58:49,14/07/2026 20:24:15,COMPLETED,4,1526,sms,
7872,3,Rohit Bose,rohit.bose615@example.com,18/06/2026 19:49:57,,started,,262,,
15204,4,Amit Reddy,amit.reddy471@example.com,30/05/2026 06:05:36,30/05/2026 06:30:08,COMPLETED,3,1472,,
34385,10,Karan Reddy,karan.reddy842@example.com,15/02/2026 22:12:13,,started,3,78,kiosk,
19325,5,Aditya Sharma,aditya.sharma37@example.com,27/03/2026 00:08:45,,started,,618,sms,
11076,3,Rohit Khan,rohit.khan929@example.com,12/04/2026 12:52:06,12/04/2026 13:18:50,partial,2,1604,,
1058,1,Rahul Nair,rahul.nair299@example.com,18/03/2026 12:17:05,18/03/2026 12:23:22,Completed,2,377,sms,
27308,5,Ananya Khan,ananya.khan707@example.com,23/05/2026 17:56:23,23/05/2026 18:15:07,COMPLETED,5,1124,sms,
16263,4,Divya Iyer,divya.iyer740@example.com,29/04/2026 10:50:10,29/04/2026 10:51:38,completed,1,88,kiosk,
26915,5,Sneha Chatterjee,sneha.chatterjee591@example.com,09/06/2026 02:58:59,09/06/2026 03:22:13,partial,3,1394,kiosk,
21061,5,Sanjay Bose,sanjay.bose594@example.com,11/05/2026 09:33:56,11/05/2026 09:56:56,Partial,4,1380,sms,
32127,10,Aditya Bose,aditya.bose515@example.com,25/04/2026 07:26:32,25/04/2026 07:50:52,partial,3,1460,whatsapp,
29156,6,Amit Patel,amit.patel909@example.com,09/06/2026 02:53:55,,started,1,1741,kiosk,
3091,1,Rohit Menon,rohit.menon96@example.com,21/01/2026 07:48:49,21/01/2026 07:58:55,Partial,3,606,sms,
8220,3,Divya Reddy,divya.reddy715@example.com,11/07/2026 00:39:06,11/07/2026 00:48:29,Completed,3,563,whatsapp,
12469,4,Sanjay Menon,sanjay.menon769@example.com,29/04/2026 01:57:24,29/04/2026 02:14:37,completed,N/A,1033,email,
20723,5,Karan Iyer,karan.iyer320@example.com,18/01/2026 10:28:15,18/01/2026 10:45:25,COMPLETED,,1030,sms,
21494,5,Rahul Desai,rahul.desai660@example.com,07/06/2026 05:50:44,07/06/2026 06:10:45,Partial,1,1201,,
31636,10,Karan Reddy,karan.reddy769@example.com,01/05/2026 14:16:55,,abandoned,2,381,whatsapp,
19628,5,Ananya Menon,ananya.menon62@example.com,08/05/2026 08:17:42,,started,4,891,sms,
19397,5,Pooja Joshi,pooja.joshi896@example.com,25/04/2026 23:51:54,,started,2,551,email,
12198,4,Priya Reddy,priya.reddy951@example.com,31/01/2026 01:15:34,31/01/2026 01:36:27,Partial,4,1253,sms,
11428,3,Priya Joshi,priya.joshi513@example.com,07/05/2026 04:24:44,07/05/2026 04:34:37,COMPLETED,N/A,593,sms,
11294,3,Karan Sharma,karan.sharma898@example.com,07/02/2026 18:30:17,,abandoned,1,1136,sms,
15276,4,Sanjay Iyer,sanjay.iyer864@example.com,20/03/2026 12:14:00,20/03/2026 12:39:59,Completed,,1559,whatsapp,
37317,12,Arjun Sharma,arjun.sharma79@example.com,04/02/2026 07:33:54,04/02/2026 07:57:27,Completed,3,1413,email,
24839,5,Sanjay Khan,sanjay.khan325@example.com,26/06/2026 07:12:40,,started,3,799,,
33656,10,Karan Reddy,karan.reddy884@example.com,16/07/2026 08:04:57,16/07/2026 08:22:56,Completed,N/A,1079,kiosk,
16148,4,Pooja Rao,pooja.rao267@example.com,17/05/2026 06:33:04,17/05/2026 06:46:53,completed,,829,,
17625,5,Divya Joshi,divya.joshi249@example.com,27/06/2026 11:28:58,,started,,1298,,
21208,5,Arjun Khan,arjun.khan182@example.com,15/06/2026 17:44:51,15/06/2026 17:47:30,Completed,N/A,159,sms,
4807,3,Amit Sharma,amit.sharma639@example.com,15/06/2026 07:19:06,15/06/2026 07:40:45,completed,,1299,,
1572,1,Kavya Nair,kavya.nair5@example.com,07/04/2026 17:56:09,07/04/2026 18:22:10,Partial,4,1561,kiosk,
24380,5,Priya Chatterjee,priya.chatterjee872@example.com,25/07/2026 14:13:49,25/07/2026 14:27:38,Partial,5,829,,
23700,5,Sanjay Reddy,sanjay.reddy247@example.com,14/06/2026 05:15:21,14/06/2026 05:28:24,COMPLETED,N/A,783,kiosk,
27421,5,Sanjay Gupta,sanjay.gupta132@example.com,10/02/2026 03:12:00,10/02/2026 03:35:19,COMPLETED,2,1399,email,
30644,7,Sanjay Chatterjee,sanjay.chatterjee504@example.com,30/04/2026 02:08:45,30/04/2026 02:10:08,Partial,N/A,83,whatsapp,
35116,10,Rahul Joshi,rahul.joshi814@example.com,14/02/2026 23:00:06,14/02/2026 23:06:04,Completed,4,358,kiosk,
2808,1,Rahul Gupta,rahul.gupta427@example.com,08/08/2026 02:05:36,,started,N/A,570,kiosk,
31498,7,Aditya Nair,aditya.nair248@example.com,13/04/2026 01:03:32,13/04/2026 01:08:47,COMPLETED,3,315,,
12683,4,Divya Nair,divya.nair605@example.com,27/04/2026 10:20:47,27/04/2026 10:46:07,Completed,2,1520,,
36059,12,Ananya Bose,ananya.bose617@example.com,02/01/2026 10:35:36,02/01/2026 10:45:35,completed,3,599,sms,
10104,3,Rahul Reddy,rahul.reddy584@example.com,01/08/2026 11:20:07,01/08/2026 11:47:56,partial,5,1669,email,
